overlap,trial_idx,hamming_dist,reading_frame,max_barrier,n_mutations,start_z1,start_z2,end_z1,end_z2,success,error
84,3,240,0,1.0296663598650198,240,0.7686832393134796,0.052761948236462276,0.6259275575510608,0.4037388023139589,True,
84,1,240,0,0.7959337241352067,240,0.7295332453049763,0.06640047883023038,0.44174426001225686,0.00610643914692039,True,
84,0,240,0,1.2226493825182794,240,0.5788225797542073,0.29222140583833195,0.7585758425562475,0.46407353996203177,True,
84,4,240,0,0.6980439849341047,240,0.4186158046377687,0.11216111097690512,0.6086454608493049,0.08939852408479974,True,
84,7,240,0,0.7582490883495867,240,0.3753433903189971,0.38290569803058966,0.4030215857151659,0.11270174771740665,True,
84,6,240,0,0.8602868688467286,240,0.8092666960419916,0.03405381678816694,0.8125163909072469,5.0487039334654084e-05,True,
84,5,240,0,0.9350550572645231,240,0.479764773637543,0.019516149650510246,0.6989148775276413,0.23614017973688178,True,
84,8,240,0,0.7261685124233814,240,0.7055045238639417,0.02066398855943979,0.4956616892097431,0.011338111073770087,True,
84,9,240,0,0.4817708147847513,240,0.4479049537202203,-0.025727061997309474,0.4073874907546164,-0.049735324819569084,True,
96,1,240,0,1.227414895346799,240,0.48573414019122985,0.741680755155569,0.533947848530712,0.3888189459185504,True,
96,0,240,0,1.18599037682272,240,0.15767647423925776,0.8719269634536249,0.269144527206806,0.9168458496159141,True,
96,4,240,0,1.3947606242831259,240,0.8795077174386495,-0.006263417355048822,0.5585885478483136,0.8361720764348124,True,
96,2,240,0,1.0012859398457152,240,0.9477980373205825,0.05348790252513279,0.15720629528924315,0.5962790551985164,True,
96,6,240,0,0.8059749823764875,240,0.25866423145888673,0.20878291792296289,0.214322719209602,0.5388615707758136,True,
96,8,240,0,0.6379450572923963,240,0.07103198723109445,0.30608423962421655,0.5821607068634308,0.055784350428965485,True,
96,5,240,0,1.034079810411936,240,0.996233928352403,-0.022591152052627416,0.4521259860163542,0.21897755779391953,True,
108,4,240,0,1.179082010538662,240,0.4159781913324718,0.3666143635354829,0.5130529153276647,0.6660290952109972,True,
108,6,240,0,0.6986051016684831,240,0.28944300050624794,0.3401595630542748,0.3022137141623573,0.36802426553444323,True,
108,3,240,0,0.763221839387712,240,0.08327438646857091,0.6501234977322006,0.4012894107913858,0.04468891217655737,True,
108,1,240,0,0.9128831365370726,240,-0.01192192866184505,0.8166461604172255,0.687210888316129,0.22567224822094367,True,
108,9,240,0,0.9435462800986454,240,0.7118671255103928,0.23167915458825264,-0.010063648613298627,0.5680024149784907,True,
120,3,240,0,0.8926193862266197,240,0.009643921934164976,0.7679548780471025,0.16557772042492988,0.3390963152122705,True,
120,0,240,0,1.1441297025406407,240,0.25991114097067464,0.8423084954206067,0.8099975359066238,0.17628631292460217,True,
120,1,240,0,1.206752682769619,240,0.838671649979479,0.1742625943424098,0.8511678126036952,0.27607522461978584,True,
120,2,240,0,1.3293788641706312,240,0.044736649540196315,0.9243484418991567,0.4782522702262012,0.7470118928096461,True,
120,4,240,0,1.0209093055684326,240,0.9598726254084998,0.06103668015993276,0.13751921808527337,0.620490646250813,True,
120,5,240,0,1.0867913319436053,240,0.026898379634175806,0.9038484859438376,0.9233462958768699,0.1634450360667354,True,
120,6,240,0,1.9298890920324556,240,0.4590387725410902,0.388082257667301,0.8668677482499475,0.8810770685213775,True,
