protein_1,protein_2,overlap,trial_idx,hamming_dist,reading_frame,max_barrier,n_mutations,start_z1,start_z2,end_z1,end_z2,success,error
PF00004,PF00041,111,7,280,0,0.5702918347627778,231,-0.009738619382285034,-0.03748330440686172,0.33434877819430714,0.07487747146203244,True,
PF00004,PF00041,111,8,280,0,0.533316325752146,235,0.0449233919508172,0.20365745111392844,0.40263851701064174,-0.00043164198073413856,True,
PF00004,PF00041,111,10,280,0,0.4471032010903594,233,0.15054934479375337,0.050101904855663126,0.2457808716584926,0.0002555268947628592,True,
PF00004,PF00041,111,11,280,0,0.5667550507447434,238,0.42574322651984486,0.1410118242248985,0.09150550849590176,-0.011236209198652777,True,
PF00004,PF00041,111,9,280,0,0.43511504963208425,231,0.09735923891034094,0.1208295374471665,0.1726975416422196,0.03193546999765633,True,
PF00004,PF00041,111,13,280,0,0.37206455653321324,230,-0.0014969746837772517,0.0025529731822920274,0.15996512272795235,0.1857475231702344,True,
PF00004,PF00041,111,14,280,0,0.5495737401045652,234,0.19958020549725167,-0.0036839417470387404,-0.02106101779981663,-0.004217513668321811,True,
PF00004,PF00041,111,15,280,0,0.8946513719056357,235,0.07771190553974391,0.2546426411083633,0.8003798872088213,-0.009772890316485677,True,
PF00004,PF00041,111,16,280,0,0.6491552469209282,233,0.05241541885766439,-0.0539833538228105,0.6394085130830088,0.00974673383791938,True,
PF00004,PF00041,111,17,280,0,0.9192592685621724,236,0.7970260378106099,0.1222332307515626,-0.008407054764912414,0.04238894072881913,True,
PF00004,PF00041,111,18,280,0,0.38148829354269986,233,0.1368392069370871,-8.308290032032505e-05,0.07320172329415797,0.10456882526470877,True,
PF00004,PF00041,111,19,280,0,0.824063648341469,236,0.0412503295207908,0.006757237906144211,0.23594277500826016,0.5881208733332088,True,
PF00004,PF00041,123,0,280,0,1.0404416813707766,228,0.9960325660538867,-0.0033573447729951106,0.6380964792069193,0.4000617114898885,True,
PF00004,PF00041,123,1,280,0,0.9973638895766609,227,0.6535409628263206,0.01698880469445373,0.8972501867651682,0.025165281531452706,True,
PF00004,PF00041,123,3,280,0,0.9560393881247136,230,0.7703425890552247,0.14839083296484404,0.5858840803180441,0.06828341742556915,True,
PF00004,PF00041,123,2,280,0,1.280010748045102,239,0.7486720474197499,0.531338700625352,0.9267265319222743,0.1039984547840101,True,
PF00004,PF00041,123,4,280,0,1.1984049282090836,227,0.7788097768180586,0.24267578235120918,0.823080880279727,0.37532404792935653,True,
PF00004,PF00041,123,6,280,0,1.1025532178808854,226,0.4455826756470872,0.33695583994859485,0.9669638582606719,-0.005712044967113605,True,
PF00004,PF00041,123,5,280,0,0.8873756535694117,221,0.7114185889964977,-0.009897852496499854,0.5390757129131242,0.1329422662714035,True,
PF00004,PF00041,123,7,280,0,1.402929421437214,230,0.8451618973423627,0.3835060520539622,0.6834677022055641,0.1328216878006346,True,
PF00004,PF00041,123,8,280,0,1.1508167863208412,230,0.7542871600586012,0.39652962626223986,0.5690804705586203,0.022538369029178766,True,
PF00004,PF00041,123,9,280,0,1.192624361726775,228,0.5334409538796632,0.2896277042395977,0.947141167478206,0.2454831942485692,True,
PF00004,PF00041,123,10,280,0,1.0491248635824846,229,0.7247033207848996,0.00835142406552931,0.962850200811203,-0.002708456120945137,True,
PF00004,PF00041,123,11,280,0,1.0086912507908883,223,0.6842736247462126,-0.0835699400587785,0.8174941049075599,0.08926445656634308,True,
PF00004,PF00041,123,13,280,0,0.8325864532081031,220,0.668850907323187,-0.053229276650567946,0.8155576259027552,0.017028827305347893,True,
PF00004,PF00041,123,12,280,0,1.0017965026801976,232,0.9022454447910624,-0.0015345324475021483,0.801352910934042,-0.000595497251543116,True,
PF00004,PF00041,123,14,280,0,1.2568134246768445,224,0.9649834175120984,0.2918300071647463,0.5823271720474775,0.01503733852504625,True,
PF00004,PF00041,123,16,280,0,1.0070179264185788,225,0.8517564422149506,1.8236955493607358e-05,0.8194135114349224,-0.01130759285435735,True,
PF00004,PF00041,123,19,280,0,1.1056862101982134,221,0.9079766431444054,-0.023215289320590096,0.9754163281753778,0.014615566687038027,True,
PF00004,PF00041,123,18,280,0,1.2621470111940742,225,0.7426927065958928,0.5194543045981815,0.9969439249388748,0.07387382025800954,True,
PF00004,PF00041,123,17,280,0,1.1138569485986352,230,0.5842846679088239,0.030808901660951408,0.8558000363068856,-0.016341028573598742,True,
PF00004,PF00041,135,0,280,0,0.21260757236703387,221,0.03664614180451156,0.0025148557033750894,0.17260847547007832,-0.002640789786900765,True,
PF00004,PF00041,135,4,280,0,0.3235209522320981,219,0.0004955412317130288,0.006969401240729509,0.1099804649341986,0.15431060881443942,True,
PF00004,PF00041,135,2,280,0,0.3924331275313867,218,0.1452922186714351,0.1533234909334341,0.0010970549159811183,-0.016331718904238946,True,
PF00004,PF00041,135,3,280,0,0.316835701712408,220,0.19815289514730286,0.11868280656510512,0.022504085070701486,-0.0006326420252496919,True,
PF00004,PF00041,135,5,280,0,0.2553416547489868,216,-0.005770337811281549,0.009059330262106258,0.09033002629923671,0.14525147286717913,True,
PF00004,PF00041,135,7,280,0,0.37902155633970763,222,0.005943706205247108,-0.008402743160776658,0.13716185985335186,0.24185969648635577,True,
PF00004,PF00041,135,9,280,0,0.3474412606960824,219,0.0045300355632940876,0.14849537492885426,0.17969211614890812,-0.000973877193081996,True,
PF00004,PF00041,135,10,280,0,0.24724613816494298,216,0.019653202962627053,0.22759293520231594,0.004001030501410502,0.2420532963060328,True,
PF00004,PF00041,135,12,280,0,0.45139480587286857,217,-0.013609502060949501,0.03058179016134703,0.10690221595242788,0.3444925899204407,True,
PF00004,PF00041,135,13,280,0,0.3654801345795584,217,0.24003033031041354,0.0981333948164432,0.025523038951121284,0.09932228496825589,True,
PF00004,PF00041,135,15,280,0,0.47895460103465504,219,0.18903969048809155,0.12612874102987984,-0.005494923704551971,0.3870620384350267,True,
PF00004,PF00041,135,16,280,0,0.21667288632126946,216,0.024480543043332893,-0.01784629149152381,-0.013194622375338742,0.010615219419290247,True,
PF00004,PF00041,135,19,280,0,0.3910379888809751,216,0.05076846964536312,0.34026951923561194,-0.010682013391066223,0.044965266807851775,True,
PF00004,PF00041,135,18,280,0,0.35785872647628225,224,0.12818594527697047,0.22967278119931175,0.058753178122103115,0.016210236457805182,True,
PF00004,PF00041,147,1,280,0,1.3575019999101328,211,0.45115341121589125,0.7029779799793796,0.8712418447634304,0.48626015514670246,True,
PF00004,PF00041,147,0,280,0,1.2562864303516246,214,0.3111107477101751,0.8556727148921845,0.8215365291642371,0.43474990118738743,True,
PF00004,PF00041,147,3,280,0,1.2987848331046803,211,0.250618721798781,0.6280213029629048,0.8074182750377841,0.4913665580668961,True,
PF00004,PF00041,147,2,280,0,1.4743817420938872,216,0.9395263755683818,0.3033862224621739,0.7764893944764493,0.5790391314482085,True,
PF00004,PF00041,147,4,280,0,0.9532994953722183,211,0.007599819531118135,0.8023723066510622,0.8174100464915706,0.13588944888064775,True,
PF00004,PF00041,147,6,280,0,1.2345876257001938,212,0.5335151776866474,0.40769356158871745,0.5552973722823564,0.6792902534178373,True,
PF00004,PF00041,147,5,280,0,1.2885761025732574,219,0.6276214031530716,0.6609546994201857,0.828356478088808,0.13844226822769226,True,
PF00004,PF00041,147,7,280,0,1.4063192187379847,212,0.6547386171642068,0.6342935619752617,0.7631565062833423,0.6431627124546424,True,
PF00004,PF00041,147,10,280,0,1.0522132428549895,211,0.8071877151105328,0.08324853184502994,0.5510615447652185,0.4923616953655113,True,
PF00004,PF00041,147,8,280,0,1.3951995735495406,212,0.640104659606986,0.6137260497774351,0.7879188276606146,0.46051194958950453,True,
PF00004,PF00041,147,9,280,0,1.4180958436761535,211,0.777379585496189,0.5662850582088266,0.7875649156789363,0.3878070004829285,True,
PF00004,PF00041,147,11,280,0,1.4282174112507409,211,0.8954471108217709,0.35855432588270475,0.9133640929838839,0.3015009760225994,True,
PF00004,PF00041,147,12,280,0,1.0218792089078435,206,0.5460918774120257,0.47578733149581776,0.32973354815058276,0.6353346089530951,True,
PF00004,PF00041,147,15,280,0,1.4047578656300077,211,0.22309907504880852,0.49721483708890307,0.9903703277310382,0.3657879911741488,True,
PF00004,PF00041,147,13,280,0,1.4222423109122562,215,0.7595488255476576,0.6626934853645986,0.5398282935093749,0.2241804445377497,True,
PF00004,PF00041,147,14,280,0,1.368118462960488,215,0.869492511036185,0.498625951924303,0.2641152605991936,0.5850579300255258,True,
PF00004,PF00041,147,16,280,0,1.2925338380241738,213,0.14009922605390385,0.5418764589152106,0.812269707677988,0.4802641303461857,True,
PF00004,PF00041,147,17,280,0,1.1880942937801784,213,0.4262335746914255,0.6859116196870341,0.889608592577834,0.29848570120234436,True,
PF00004,PF00041,147,18,280,0,1.484915831223978,213,0.9368983779671654,0.5480174532568126,0.5106737027632646,0.8323670977865991,True,
PF00004,PF00041,147,19,280,0,1.1174551357857319,213,0.6273349078088534,0.4843106824258847,0.6188082007482536,0.49864693503747826,True,
PF00004,PF00041,159,2,280,0,1.4496331534179063,206,0.15744245643849175,0.8542533124945427,0.9013074499476458,0.40501630344491313,True,
PF00004,PF00041,159,0,280,0,1.1204101375884115,206,0.1843132216817814,0.7282159143612515,0.24864312792648371,0.6900262845903963,True,
PF00004,PF00041,159,3,280,0,1.2244887927371677,211,0.6174614478650127,0.607027344872155,0.3672776180260921,0.8167366143211325,True,
PF00004,PF00041,159,1,280,0,1.2413722661518587,203,0.9732641618694243,-0.008737865499655424,0.2948441037588941,0.9465281623929646,True,
PF00004,PF00041,159,5,280,0,0.9510597277735011,209,0.3746766490038545,0.5207087247519908,0.4909971739172635,0.4489658583142076,True,
PF00004,PF00041,159,4,280,0,1.2753518284617233,207,0.7423611715085964,0.5329906569531269,0.4203523102487262,0.8170218024316799,True,
PF00004,PF00041,159,6,280,0,1.0368745154955776,212,0.7655689514621866,0.19442078753749492,0.002189706484210301,0.8597502943113506,True,
PF00004,PF00041,159,7,280,0,1.19899300136715,211,0.15928518301623504,0.7441418000772649,0.04410719205240055,0.89596161565399,True,
PF00004,PF00041,159,9,280,0,1.234824319744021,207,0.3717209678155385,0.823638962250064,0.9213681555014304,0.24906479910964274,True,
PF00004,PF00041,159,10,280,0,1.2721401460728297,204,0.2781636296252367,0.6248943510501669,0.6431534405945472,0.6289867054782824,True,
PF00004,PF00041,159,11,280,0,1.0809863374945312,209,0.44161217052158175,0.23118982304355815,0.7362019648948969,0.3447843725996344,True,
PF00004,PF00041,159,12,280,0,1.149135280274865,210,0.602697270217302,0.3638455571587968,0.1579208714184376,0.6605091901077826,True,
PF00004,PF00041,159,13,280,0,1.2056652500875717,201,0.7782530998417033,0.42741215024586837,0.7801254417750962,0.344417069765587,True,
PF00004,PF00041,159,14,280,0,1.109336633844423,209,0.2742842228881968,0.5880707788157306,0.6596789170582203,0.1814490306523485,True,
PF00004,PF00041,159,15,280,0,0.9576686266948435,202,0.07100402850637495,0.5974382704221015,0.5173137761767282,0.44035485051811535,True,
PF00004,PF00041,159,16,280,0,1.5077788198089448,204,0.8167700613924471,0.46039293963512556,0.21634526076563804,0.9014338838583714,True,
PF00004,PF00041,159,17,280,0,0.9675881289071053,207,0.5576733948335049,0.3256344809641471,0.26770322475639,0.6998849041507154,True,
PF00004,PF00041,159,18,280,0,1.3006304902498191,205,0.05460250072648751,0.8252587980392181,0.45482748913199567,0.5469107742627866,True,
PF00004,PF00041,159,19,280,0,1.4226222487621623,205,0.31461169563741,0.9499411639601112,0.7433431133121282,0.6418998455115271,True,
PF00004,PF00041,171,1,280,0,1.587814139537655,199,0.4581078975095591,0.6901321967377905,0.7928336890972296,0.7949804504404253,True,
