overlap,trial,seed,error,hamming_distance,n_mutations,max_distance_from_natural,start_distance,end_distance,start_energy,end_energy,mean_e1_generated,mean_e2_generated,ga_converged,protein_1,protein_2,nat_mean_1,nat_mean_2
36,17,37742,,245,245,0.25957844511207373,0.005163102398068784,0.006447608095975649,266.7320482436221,266.52469485709844,145.88061667337763,120.61858380595454,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,18,37842,,241,241,0.20663572572745922,0.004546460420740047,0.018122850792035457,266.4026607762129,267.10845473859354,145.8988414227175,120.74878513939139,True,PF00004,PF00041,145.87937104727615,120.65601144257766
36,19,37942,,252,252,0.1912030629551542,0.005068633830048172,0.012374561954837465,266.688845728425,266.09901164175244,145.9230817458811,120.67098422088412,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,0,42042,,235,235,0.2665158989339802,0.005597647286221743,0.017174443241082867,266.6705368347139,266.17460947477167,145.9880917133182,120.71918640643547,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,1,42142,,251,251,0.2683084284704666,0.008789900576546722,0.03072697475451743,266.346507046557,265.4312229237645,145.86605936824395,120.891590504742,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,2,42242,,241,241,0.2039619544035247,0.009614738936559394,0.013151011354985108,266.8010171309384,266.79972963682417,145.97749469617685,120.68861511166477,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,3,42342,,242,242,0.24589746846643754,0.00962754366665097,0.0037122435558361935,266.4940189934576,266.6336442421109,148.02413794207203,120.6459212017841,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,4,42442,,240,240,0.1904257166642171,0.01921753307767414,0.007568125541403298,266.2144718027065,266.6082348666711,146.00171417315045,120.66496300596526,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,5,42542,,240,240,0.20012860469180396,0.016805454098253406,0.026840354206761174,265.93814076682935,267.2298222797115,146.17496859057337,120.85815352381408,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,6,42642,,240,240,0.21711019945638385,0.01343289938824985,0.02127360155639111,267.03325592451904,267.0238111797078,145.8756823012715,120.68413881396721,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,7,42742,,241,241,0.18650754988025886,0.014655480940006599,0.006808979690135548,267.00106555442284,266.4124047061525,145.21564360324163,120.72847053780872,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,8,42842,,240,240,0.1923114610404221,0.005744279859936029,0.015056717753313801,266.74681846523276,266.24227086723636,145.9155527803014,120.63479950868918,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,9,42942,,239,239,0.22553703569507572,0.013182314238971583,0.0035141845771327735,266.8922551169277,266.6253540512034,145.95702448684432,120.70081469944155,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,10,43042,,241,241,0.24759036544826502,0.025786005237166766,0.007972212006856383,265.9126205638087,266.30940215747114,145.92178862365662,120.67712741964063,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,11,43142,,247,247,0.20028576075442658,0.01710271794854604,0.006556693062002185,266.074819157845,266.7214217260651,145.85560718972528,120.64867472196582,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,12,43242,,241,241,0.20252555870580058,0.002275458604988719,0.08144020855139564,266.482315421071,264.9101646187911,145.73900628481263,120.84872240509627,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,13,43342,,241,241,0.24152274073276994,0.017344632233186417,0.011282636105748606,266.11231217942816,266.1299735051604,146.0083128138784,121.05303489415977,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,14,43442,,240,240,0.17337189266150244,0.02610824670715601,0.012262973123458764,265.90412599564894,266.79703059197703,146.56697583895087,120.65190544170537,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,15,43542,,241,241,0.19486723917483542,0.02224446224730021,0.003030523568713853,267.2822988207589,266.4908044650735,145.9103615225633,120.66836801300887,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,16,43642,,243,243,0.20232917376130274,0.007076582865576109,0.018154776168077803,266.62311792956984,266.4310018712631,145.94537030865058,120.66351850131961,True,PF00004,PF00041,145.87937104727615,120.65601144257766
