,PF1,PF2,Overlap,Mean_E1,Std_E1,Mean_E2,Std_E2,Nat_Mean1,Nat_Mean2,Dist_1,Dist_2,Min_Dist_1,Min_Dist_2,Iter_To_Min_1,Iter_To_Min_2
17,PF00004,PF00041,63,187.26307839798997,28.182961841926016,137.63803744615353,13.294772719664802,145.87937104727615,120.65601144257766,41.38370735071382,16.982026003575868,18.781891247744937,0.5032494166779109,135500.0,145250.0
18,PF00004,PF00041,66,190.4334633534481,33.505334481552325,141.43233409171938,10.525471965327945,145.87937104727615,120.65601144257766,44.55409230617195,20.77632264914172,16.741034738424084,1.6713233542995618,144500.0,135250.0
19,PF00004,PF00041,69,160.2000704152824,15.053923395839625,138.93034800970517,8.436805626540783,145.87937104727615,120.65601144257766,14.320699368006245,18.274336567127506,0.37195802925848936,1.2894594159307686,135750.0,123000.0
20,PF00004,PF00041,72,176.7866635071644,37.51793102077253,140.10109308476405,11.669448913982766,145.87937104727615,120.65601144257766,30.907292459888254,19.44508164218638,9.934932567377139,0.8939722888428996,165375.0,150625.0
21,PF00004,PF00041,75,170.0180872255625,21.45736945997672,147.02080044776855,8.027893072522437,145.87937104727615,120.65601144257766,24.13871617828636,26.364789005190886,1.6164176780403394,1.606174470860703,143625.0,110000.0
22,PF00004,PF00041,78,149.63999104250215,13.310175109990475,150.63832805783812,11.076686068979837,145.87937104727615,120.65601144257766,3.760619995225994,29.98231661526046,0.307995288982454,2.3417373439639038,143500.0,132125.0
23,PF00004,PF00041,81,209.8319955847158,19.321658445189687,142.11814078517622,8.599423927774462,145.87937104727615,120.65601144257766,63.95262453743965,21.46212934259856,27.416547126257008,3.0147023271654456,162375.0,122375.0
24,PF00004,PF00041,84,188.78179624674743,17.99547210386721,147.38231484642515,11.312873734615415,145.87937104727615,120.65601144257766,42.90242519947128,26.72630340384748,14.815391593720097,4.0626207745353105,143125.0,136375.0
25,PF00004,PF00041,87,163.43204183401969,18.153003352555455,144.06417728790845,11.333786921706958,145.87937104727615,120.65601144257766,17.552670786743533,23.408165845330785,0.3348871175849055,2.5741064643797764,165250.0,112750.0
26,PF00004,PF00072,12,142.3198917203342,16.714935402053747,217.287603200928,11.893163296469437,145.87937104727615,201.36867883211482,3.559479326941954,15.91892436881318,0.23697613318687302,0.3063037631486452,171125.0,108875.0
27,PF00004,PF00072,15,178.52546469994235,17.686539133468266,207.28214150736966,18.815562059991294,145.87937104727615,201.36867883211482,32.646093652666195,5.913462675254834,10.568795324707619,0.49197107060173123,170375.0,127125.0
28,PF00004,PF00072,18,177.66193122538354,19.254298199983502,211.21425023714113,18.30439437806702,145.87937104727615,201.36867883211482,31.78256017810739,9.845571405026305,4.011288497060188,0.3524512697680535,150250.0,145375.0
29,PF00004,PF00072,21,144.33820648119843,13.86319794631943,217.51408533014688,19.32279753444586,145.87937104727615,201.36867883211482,1.5411645660777253,16.14540649803206,0.32441967259258175,0.38324611279711435,167625.0,135500.0
30,PF00004,PF00072,24,151.7928427789011,16.395756099090733,213.45152043261245,21.401901292137264,145.87937104727615,201.36867883211482,5.913471731624952,12.08284160049763,0.39459139138921273,0.3347559006915219,184750.0,126250.0
31,PF00004,PF00072,27,184.9977538453324,20.679721926688167,207.8189610188887,15.846032211676803,145.87937104727615,201.36867883211482,39.118382798056246,6.450282186773876,7.173650625130601,0.4504359308414436,164375.0,169875.0
